`` ``
Alice NNP
alive JJ
all DT
All DT
alleging VBG
Allied JJ
allocates VBZ
allocations NNS
allotted VBN
allowing VBG
allow VB
all PDT
All PDT
all RB
allurement NN
almost RB
Almost RB
alone RB
along IN
alphabetical JJ
already RB
also RB
Also RB
alternative JJ
alternatively RB
alternative NN
although IN
Although IN
always RB
amazing JJ
ambience NN
ambulance NN
ambush NN
American JJ
America NNP
Amigo NNP
a.m. NN
among IN
Among IN
amount NN
amphitheatre NN
am VBP
analog JJ
analogy NN
Analysing VBG
analysis NN
Analysis NN
analyst NN
an' CC
and CC
And CC
an DT
An DT
Anfield NNP
anger NN
angora NN
angrily RB
animal NN
animation NN
ankle-deep JJ
A NN
anniversary NN
announced VBD
announcement NN
annoyance NN
A NNP
another DT
Another DT
answer NN
answers VBZ
antagonistic JJ
antennae NN
Anthea NNP
Anthony NNP
anthropologist NN
anticipation NN
anti-climax NN
anti-drug JJ
anti JJ
Antioch NNP
antiquity NN
antlers NNS
anybody NN
any DT
anymore RB
anyone NN
anything NN
anytime RB
anyway RB
apartment NN
apart RB
apart RP
apathy NN
a PDT
apes NNS
Apollonius NNP
apologize VB
apparent JJ
apparently RB
appeal NN
appeals VBZ
appeal VB
appearance NN
appeared VBD
appeared VBN
appear VB
appear VBP
applecarts NNS
apple NN
applicability NN
application NN
applied VBD
apply VBP
appreciation NN
approached VBD
approach NN
appropriate JJ
approvingly RB
April NNP
aqualung NN
arbitrarily RB
arches NNS
arching VBG
architect NN
architectural JJ
architecture NN
Arctic NNP
area NN
Area NN
areas NNS
arena NN
arenas NNS
are VBP
Are VBP
argues VBZ
argument NN
arguments NNS
Ari NNP
armament NN
armor NN
arms NNS
army NN
Army NNP
around IN
around RB
around RP
Arousal NN
arranged VBN
arrangement NN
arrangements NNS
arrested VBD
arrested VBN
arresting VBG
arrest NN
arrogate VB
arrowheads NNS
artefacts NNS
artfully RB
arthritic NN
article NN
artificial JJ
artistic JJ
artist NN
Artists NNPS
artists NNS
art NN
Art NN
Artwork NN
as CC
ascend VBP
as IN
As IN
asked VBD
asked VBN
asking VBG
ask VBP
asleep JJ
aspiration NN
as RB
As RB
assaulted VBN
assay NN
assets NNS
assistance NN
associated VBN
assumed VBN
assumption NN
astonished VBN
astonishing JJ
asymmetries NNS
Atack NNP
Atala NNP
ate VBD
at IN
At IN
atmosphere NN
'at NN
atom NN
attaching VBG
attack NN
attacks NNS
attack VB
attains VBZ
attempting VBG
attempt NN
attempt VB
attempt VBP
attendance NN
attendant JJ
attendant NN
attendants NNS
attend VB
attention NN
attracted VBD
attributes NNS
a-type NN
atypical JJ
audience NN
Auer NNP
Aug. NNP
Augusta NNP
Australian JJ
Australia NNP
authenticated VBD
authoritative JJ
author NN
authors NNS
automatically RB
available JJ
avenged VBN
average JJ
average NN
'Ave VBP
avidity NN
avocets NNS
avoid VB
awake JJ
aware JJ
awareness NN
away RB
away RP
axons NNS
babbling VBG
baby NN
backed VBN
background NN
backgrounds NNS
back NN
back RB
back RP
back VB
Back VB
bacon NN
bad JJ
badly RB
baker NN
baker NNP
baking VBG
ball NN
ballot NN
Ballot NN
bandits NNS
band NN
bands NNS
bandy JJ
Bangladesh NNP
banker NN
bankers NNS
barbecue NN
bared VBD
barely RB
bargaining NN
barked VBD
bark NN
barky JJ
barrier NN
Barrios NNP
Barristers NNS
barrows NNS
based VBN
base NN
bases NNS
basically RB
Basically RB
basic JJ
basis NN
basket NN
basking VBG
Bath NNP
bathroom NN
batsman NN
battery NN
battlefield NN
battle NN
Battle NN
bawled VBD
BBC NNP
BB NNP
b CD
beachcomber NN
beach NN
beard NN
bearers NNS
bear VBP
beasts NNS
beautiful JJ
Beauty NNP
became VBD
because IN
Because IN
becomes VBZ
become VB
become VBN
become VBP
becoming VBG
bed NN
bedroom NN
bedsocks NNS
been VBN
beer NN
beer-reeking JJ
before IN
Before IN
before RB
began VBD
beginning NN
begins VBZ
begin VB
Behar NNP
behavior NN
behind IN
behind RB
being VBG
beleaguered JJ
beliefs NNS
believed VBD
believes VBZ
believe VB
Belinda NNP
bell NN
bellow VB
Bells NNS
belonged VBD
belongings NNS
belong VBP
below RB
belt NN
belying VBG
benches NNS
bench NN
bends NNS
beneath IN
benefit NN
Bennett NNP
bent VBD
best JJS
best RB
best RBS
better JJR
between IN
be VB
beyond IN
Beyond IN
bicycle NN
bid NN
bids NNS
biennial JJ
biennial NN
bifida NN
biggest JJS
big JJ
bike NN
billion CD
bills NNS
Billy NNP
binding JJ
biomaterial NN
biomaterials NNS
bio-reactor NN
birds NNS
Birdsong NNP
birthday NN
birth VB
Bishop NNP
BIS NNP
bitches NNS
bit NN
bit RB
bits NNS
bivalves NNS
black JJ
Blackmore NNP
Black NNP
Blackwellgate NN
bladder NN
bladders NNS
blades NNS
Blaney NNP
blank JJ
blazing JJ
bleeds VBZ
Blessed NNP
blindly RB
blocked VBN
blocking VBG
block VB
blood NN
Bloomin' JJ
bloom NN
blossom VB
blotter NN
blouse NN
blow-dries VBZ
blowing VBG
blow NN
blows VBZ
blow VB
blue-black JJ
blue JJ
blue NN
blueprint NN
B NN
B NNP
board NN
Board NN
boards NNS
boast VB
boat NN
boats NNS
bobbing VBG
bodies NNS
body NN
Body NNP
boiled JJ
bollocks NNS
bomb NN
bonded VBN
bone NN
bones NNS
bonnet NN
book NN
bookshops NNS
books NNS
boom NN
Boosted VBN
boost NN
boot NN
boots NNS
border NN
bore VBD
borrower NN
borrowers NNS
boss NN
both CC
both DT
Both DT
bothered JJ
both PDT
both RB
bottle NN
bottom-dwelling VBG
bottom NN
bouquet NN
Bourbon NN
bovine JJ
bowl NN
box NN
boyish JJ
boy NN
Boy NNP
boys NNS
Boyz NNP
braced VBD
brain NN
branches NNS
brand RB
brave JJ
Brazilian JJ
breach NN
bread NN
breakfast NN
breaking VBG
break VB
breasts NNS
breathed VBD
breath NN
bred VBD
breed NN
bridal JJ
bride NN
bridge NN
Bridge NN
bridges NNS
brief JJ
bright JJ
brilliance NN
brilliant JJ
brings VBZ
bring VB
Bristol NNP
Britain NNP
British JJ
BRITISH JJ
Brit NN
broadcast NN
broad JJ
broken JJ
broke VBD
brooding JJ
brooding VBG
brother-in-law NN
brought VBD
brought VBN
brow NN
browse VB
brute NN
B'S NNS
bubble NN
bubbling JJ
buccaneers NNS
Buckinghamshire NNP
bucks NNS
Budget NN
Bud NNP
Buffet NNP
building NN
buildings NNS
building VBG
buildin's NNS
built VBD
built VBN
bulging VBG
bulk NN
Bulldog NN
Bulletin NN
bully NN
bunched VBD
bunch NN
bundle NN
bunsen NN
burdened VBD
burdening VBG
Burg NNP
buried VBD
buried VBN
burned VBD
burners NNS
burnt VBN
burrowing VBG
burst VB
burst VBD
Busacher NNP
businesses NNS
business NN
Business NNP
bus NN
busy JJ
but CC
But CC
butterfly NN
buying VBG
buy VB
buy VBP
by IN
By IN
by-passed JJ
by RB
by RP
C57B1/6 NN
C57B1/6-WLD NN
Cabinet NN
cables NNS
cadets NNS
cafes NNS
cake NN
calculates VBZ
called VBD
called VBN
calling VBG
Callinicos NNS
calls NNS
calls VBZ
Callum NNP
call VB
call VBP
calm JJ
Cambridge NNP
ca MD
camels NNS
cameo NN
Cameron NNP
came VBD
camouflage NN
campaign NN
Canada NNP
canal NN
candidates NNS
canine-tooth JJ
can MD
Can MD
canoeing VBG
canoes NNS
capable JJ
capacity NN
capital JJ
capital NN
captained VBD
captain NN
captured VBN
capture VB
card-dropping VBG
card NN
careering VBG
career NN
carefully RB
care NN
carfully RB
Carl NNP
car NN
carousel NN
carried VBN
carries VBZ
Carroll NNP
carrying VBG
carry VB
cars NNS
Carson NNP
cartel NN
cartilage JJ
cartilage NN
cart NN
carts NNS
cascading VBG
case NN
cases NNS
cassettes NNS
castanets NNS
castle NN
cast VB
casualties NNS
catalogs NNS
catastrophes NNS
catching VBG
catch VBP
categorization NN
category NN
Catholic JJ
caught VBD
caught VBN
caused VBN
cause NN
caustically RB
cautionary JJ
cave NN
CBC NNP
c CD
CCK NNP
ceased VBD
cease VB
ceiling NN
ceilings NNS
cell NN
cellphones NNS
cells NNS
Celtic JJ
centered VBD
center NN
centigrade NN
centimeter NN
Centocelle NNP
central JJ
Central JJ
centrally RB
centuries NNS
century NN
CEOs NNS
certain JJ
certainly RB
Certainly RB
cf VB
Chainbelt NNP
chain NN
chair NN
challenged VBD
challenge NN
challenges NNS
challenges VBZ
Chamorro NNP
championing VBG
champions NNS
Chancellor NN
chance NN
changed VBD
changed VBN
change NN
changes NNS
change/ VB
Changing NNP
changing VBG
channel NN
channels NNS
Chan NNP
chaos-ridden JJ
Chaplain NN
chapter NN
characteristics NNS
characters NNS
charged VBN
charging VBG
chariots NNS
charitable JJ
chart NN
charts NNS
Chases NNP
chatters VBZ
chat VB
check-out NN
Check VB
cheeks NNS
cheesecloth NN
Cheeseman NNP
cheese NN
chemistry NN
chest NN
chicken NN
childhood NN
child NN
children NNS
child-survival NN
chilled JJ
chimney NN
China NNP
Chinese JJ
chips NNS
chiu NNP
chive NN
chocked VBN
choice NN
choices NNS
cholesterol NN
choose VB
choosing VBG
chopsticks NNS
chords NNS
Chris NNP
Christian JJ
Christmas NN
Christmas NNP
Christ NNP
chronicled VBN
chronicler NN
chuckled VBN
chuckle NN
churches NNS
church NN
Church NN
chutney NN
Ciccolini NNP
Cicily NNP
cinnamon NN
circle NN
circles NNS
circuit NN
circular JJ
circulated VBD
circumstances NNS
circuses NNS
citizen NN
city NN
City NNP
civilization NN
civilizations NNS
civilized JJ
civil JJ
claimed VBN
claim NN
claims NNS
claim VB
Clapham NNP
clapping VBG
clap VB
Clare NNP
clarity NN
clasped VBD
clasped VBN
classes NNS
class NN
classroom NN
Clausen NNP
claws NNS
clay NN
Clay NNP
clean JJ
clearly RB
clear VB
cleavage NN
clenched VBD
cleverness NN
clicked VBD
climate NN
climax NN
climbed VBD
Climbers NNS
climbing NN
clinging VBG
clinical JJ
clinic NN
Clinic NN
clip NN
cloak NN
cloak VB
clocked VBD
clocking NN
clock NN
closed JJ
closed VBD
closed VBN
close JJ
close RB
closer JJR
closer RBR
closing VBG
closure NN
clothes NNS
cloud NN
Cloud NN
clouds NNS
cloven JJ
cloves NNS
clownish JJ
club NN
clutching VBG
C NN
CNN NNP
C NNP
coach NN
coal NN
coast NN
coat NN
coat VBP
coat VBZ
cocooning NN
code NN
coffee NN
coffee-table NN
coffin NN
cohabited VBD
Cohen NNP
coiled JJ
coinciding VBG
coin NN
colder JJR
cold JJ
collaboration NN
collagen NN
collapsed VBN
colleagues NNS
collection NN
collective JJ
collect VB
college NN
College NN
Colman NNP
colonization NN
coloration NN
colored VBN
colorful JJ
color NN
colors NNS
color VB
columns NNS
combat NN
comes VBZ
cometh VBZ
come VB
come VBD
come VBP
comfortable JJ
comfort VBP
coming VBG
comin' VBG
commanders NNS
command NN
comments NNS
commercial JJ
commercials NNS
Commission NN
committees NNS
commit VB
common JJ
Common JJ
Commons NNP
communicating VBG
communication NN
communion NN
communists NNS
communities NNS
community NN
COMMUNITY NN
compact JJ
Companies NNS
company NN
compensate VB
competent JJ
competitive JJ
complementary JJ
completed VBN
complete VB
complexity NN
complex JJ
complicated JJ
complicit JJ
compliments NNS
component NN
components NNS
composers NNS
comprehend VB
compressed JJ
Comprising VBG
compromise NN
computer NN
computers NNS
Comtesse NN
conceit NN
conceived VBN
concentrated JJ
concentration NN
concentrations NNS
conceptualize VBP
concerned JJ
concerned VBN
concerning IN
concerns NNS
concert NN
condemnation NN
condemned VBD
conditioner NN
conditions NNS
condition VBP
conducted VBN
conduct NN
Conference NN
confidence NN
confines VBZ
confining VBG
conflict NN
confront VB
confused VBD
connected JJ
connection NN
connect VB
connotation NN
conquered VBN
conscientious JJ
consciousness NN
consensus NN
consequence NN
conservative JJ
considerable JJ
considered VBN
consider VB
consider VBP
consisted VBD
consistory NN
consists VBZ
console NN
conspiring VBG
Constance NNP
constancy NN
constant JJ
constantly RB
constituted VBD
construction NN
contact NN
container NN
contains VBZ
contain VBP
contemporary JJ
contented JJ
contentious JJ
contest VB
context NN
continent NN
continued VBD
continues VBZ
contracted VBD
contract NN
contractors NNS
contract VBP
contrast NN
contributed VBD
controlled VBN
control NN
Control NNP
convenient JJ
conventional JJ
convergence NN
conversation NN
conversations NNS
Conveyancing JJ
convince VB
convincing JJ
cooked VBN
coolie NN
cooped VBN
cooperate VB
co-operative JJ
cooperative JJ
coordinated VBN
co-ordinate NN
co-ordinating JJ
co-ordinating VBG
cope VB
copy NN
copyright NN
Corbett NNP
Corby NNP
cord NN
corner NN
corporate JJ
corrected VBD
correctly RB
corresponded VBD
correspondence NN
corresponding JJ
corresponds VBZ
correspond VBP
corridor NN
corrupts VBZ
cosmetics NNS
Cossacks NNS
cottars NNS
cotton NN
couch NN
coughed VBD
coughing VBG
could MD
council NN
Council NNP
councils NNS
counselee NN
counteracting VBG
counteract VB
counter-attributes NNS
counterbalanced VBN
counterpart NN
counties NNS
Count NNP
countries NNS
country NN
counts VBZ
Countway NNP
couple NN
couples NNS
course NN
court NN
Court NN
cousin NN
cover VB
CR-1409 NNP
crackers NNS
crackling VBG
cracks NNS
cradled VBD
cradling VBG
crafted VBD
crafted VBN
Cramming VBG
cramped JJ
crane NN
Cranston NNP
crashing VBG
crated VBN
craze NN
crazy JJ
crease NN
creases NNS
creasing VBG
created VBD
created VBN
create VB
creating VBG
creative JJ
creatures NNS
crinkle-crankle JJ
crisis NN
criteria NNS
criterion NN
criticism NN
critique NN
CR NNP
crofts NNS
crouched VBN
Croup NN
crowded VBN
crowed VBD
crucial JJ
cruel JJ
crumpled VBD
crusade NN
Crusoe NNP
crustacea NNS
crying VBG
cryptic JJ
Crystal NNP
CSE NNP
CS NNP
c-type JJ
cucumber NN
culmination NN
cultivated VBN
cultivate VB
cultural JJ
culture NN
cup NN
Cup NN
cupping VBG
curling VBG
curls NNS
current JJ
currently RB
curse NN
curses NNS
curtailment NN
curved JJ
curving VBG
customers NNS
cuts NNS
cutting JJ
cuttings NNS
cut VB
cut VBN
cycle NN
cyclical JJ
cyclists NNS
cymbal-and-drum NN
cynicism NN
dad NN
dagger NN
daily JJ
Daily NNP
daily RB
Daisy NN
damage VB
Damascus NNP
Dame NNP
damned VBD
damn JJ
damn VB
Damn VB
damp JJ
dance NN
dancers NNS
dance VB
danger NN
dangerous JJ
dangers NNS
dangling VBG
dank JJ
Danny NNP
dare VB
darkened JJ
dark JJ
darkness NN
dark NN
Darlington NNP
darted VBD
Dashiell NNP
DAS NNP
data NN
data NNS
dated VBN
date NN
daughter NN
daunting JJ
Dauntless NNP
Davey NNP
David NNP
Davies NNP
dawned VBD
dawn NN
daylight NN
day NN
days NNS
dazed JJ
dazed VBN
dazzled VBD
d CD
D CD
dead JJ
deadline NN
dealers NNS
dealing NN
deal NN
Dear JJ
dearth NN
death NN
debt NN
decade NN
decades NNS
decaying VBG
decay NN
decellularized JJ
December NNP
decided VBD
decide VB
decision NN
decisions NNS
deck NN
decoded VBN
decode VB
decorator NN
decreasing VBG
decree NN
decrees NNS
dedicated VBN
deduce VB
deeper JJR
deeply RB
deer NN
defect NN
defendant NN
defenders NNS
defend VB
defense NN
defied VBD
define VB
defining JJ
definitely RB
defuse VB
degenerate VBP
degradation NN
degrade VB
degree NN
degrees NNS
deigned VBD
deleted JJ
deletions NNS
delicate JJ
delight NN
delimit VBP
delivery NN
deluge NN
demand NN
demands VBZ
democratization NN
de NNP
De NNP
denotes VBZ
denote VB
dental JJ
Department NN
depending VBG
depends VBZ
depicted VBD
deployment NN
deploys VBZ
depolarized JJ
deputize VB
derived VBN
described VBD
described VBN
describes VBZ
describing VBG
description NN
descriptions NNS
desert NN
deserve VBP
designed VBN
designer NN
designers NNS
designing VBG
design NN
Design NN
desire NN
desires NNS
desk NN
despatched JJ
despised VBD
destination NN
destroyed VBN
destruction NN
detailed JJ
Detailed JJ
detail NN
details NNS
Detection NN
detective NN
detergents NNS
determine VBP
detonating JJ
developed VBD
developed VBN
developer NN
developing JJ
Developing NNP
developing VBG
development NN
developments NNS
develops VBZ
develop VB
develop VBP
deviates VBZ
device NN
devices NNS
devious JJ
Dexter NNP
diagonal JJ
diagram NN
dialed VBD
diameter NN
Dickens NNP
did VBD
dies VBZ
difference NN
different JJ
differently RB
difficulties NNS
difficult JJ
difficulty NN
diffuse VB
digging NN
digging VBG
dignified JJ
dignity NN
dig NN
digs VBZ
dig VB
dilated VBD
dimorphism NN
dingbat NN
dinner NN
directionally RB
direction NN
direct JJ
directly RB
Directorate NN
Directory NN
direct VB
direct VBP
dirt NN
dirty JJ
disappears VBZ
disappointed JJ
disassembled VBN
discern VB
discharge VB
Disciplinary JJ
discourse NN
discourses NNS
discover VB
discriminated VBN
discrimination NN
Discrimination NN
discussing VBG
discussion NN
discussions NNS
discuss VB
diseased JJ
diseased-looking JJ
diseases NNS
disembarking VBG
disengaging VBG
disentangled VBD
disgust NN
dishes NNS
dishonest NN
disillusioned VBN
disintegrated VBD
dislodge VB
dislodging VBG
dismay NN
dismissal NN
Disney NNP
dispensed VBN
displayed VBN
display NN
displays NNS
display VBP
disrobed VBD
dissolution NN
dissuade VB
distanced VBN
distance NN
distances NNS
distinction NN
distinct JJ
distinguished JJ
distinguishes VBZ
distinguishing VBG
distracted JJ
District NN
distrusting VBG
ditched VBN
ditches NNS
dives VBZ
divided VBN
dividing VBG
divisions NNS
divorce NN
dizzy JJ
'd MD
doctor NN
Doctor NN
doctors NNS
documentary NN
document VB
does VBZ
Does VBZ
dog NN
dogs NNS
doing VBG
dole NN
dollars NNS
domain NN
domains NNS
domed JJ
domes NNS
domestic JJ
dominance NN
dominant JJ
dominate VB
Dominions NNS
done VBN
Donn NNP
donor NN
door NN
doorstep NN
doorway NN
Dorn NNP
dosed VBN
dots NNS
doubled VBN
double VB
doubt NN
doubts NNS
do VB
Do VB
do VBP
Do VBP
down IN
down JJ
download VB
down NN
down RB
down RP
Downs NNS
downstairs RB
draft NN
dragging VBG
drains NNS
dramatized VBN
drawing NN
drawn VBN
draws VBZ
draw VB
draw VBP
dredge VB
Dreiser NNP
dressing NN
dress NN
drew VBD
dribbled VBD
drift VB
drilling VBG
drinking VBG
drink VB
drink VBP
driven VBN
driver NN
drivers NNS
drive VB
driving VBG
Dr NNP
dropped VBN
drop VB
drowning VBG
drug-induced JJ
drunk JJ
Drunk JJ
dry JJ
Duart NNP
ducked VBD
due IN
dull JJ
dull VB
duo NN
duplicity NN
duration NN
during IN
During IN
Durkheimian JJ
dusk NN
duty NN
'd VBD
dwelling NN
dwell VB
Dyall NNP
dynamics NNS
dystrophin-associated JJ
each DT
eagerly RB
earlier RB
Earlier RB
early JJ
earning VBG
ears NNS
easily RB
Eastern NNP
East NNP
easy JJ
Eat VB
echoes NNS
economically RB
economic JJ
economies NNS
economists NNS
economy NN
ecstasy NN
ecstatic JJ
Edenic JJ
edge NN
edited JJ
editions NNS
editorial JJ
editor NN
editors NNS
educated JJ
education NN
Edwardian JJ
Edwin NNP
eerie JJ
effecting VBG
effect NN
effects NNS
effortless JJ
egg NN
e.g. NN
Egyptian JJ
Egypt NNP
eight CD
eighteen CD
Einstein NNP
either CC
either DT
either RB
ejected VBN
eject VB
elaborate JJ
elapsed VBD
elderly JJ
elder NN
electrical JJ
electric JJ
electronic JJ
electronics NN
elegiac JJ
eleven CD
elided VBN
eliminate VB
elite NN
Ellen NNP
Elliott NNP
Eloise NNP
else RB
elves NNS
email NN
emanating VBG
embarking VBG
embracing VBG
embroidered JJ
embroidery NN
embryo NN
emerged VBD
emerging VBG
Emily NNP
emitted VBN
emitting VBG
emotional JJ
emphases NNS
emphasis NN
empirical JJ
employees NNS
empowered VBN
empower VB
empty JJ
enchanting JJ
encoded VBN
encompassed VBN
encounter VBP
encouraging VBG
endears VBZ
Ending NN
end NN
End NNP
ends NNS
end VB
end VBP
enemies NNS
energized VBN
energize VBP
energy NN
engaged VBN
engage VBP
engaging VBG
engineered JJ
engineered VBN
engineering NN
engineers NNS
engines NNS
England NNP
English JJ
enhance VB
enjoy VB
enjoy VBP
enlaced VBN
E NN
enormous JJ
enough JJ
enough RB
enraging VBG
enriched VBN
enriches VBZ
ensemble NN
enshrined VBD
enshrined VBN
ensure VB
entered VBD
Enteroglucagon NN
enterprise NN
enters VBZ
entertained VBN
entertaining VBG
enter VB
enter VBP
enthused VBD
entire JJ
entirely RB
entities NNS
entrance NN
entrepreneurship NN
enunciated VBD
envelope NN
environmental JJ
Environment NN
ephemerality NN
Equality NN
equalized VBD
Equal JJ
equally RB
equated VBN
equation NN
equity NN
era NN
ERM NNP
erratic JJ
escalating JJ
escalator NN
escape NN
eschewed VBD
Escobar NNP
escorted VBD
especially RB
essential JJ
essentially RB
Essex NNP
establish VB
estate NN
estimated JJ
etc. FW
ethical JJ
ethically RB
ethnic JJ
Euro NN
European JJ
Europe NNP
evaluation NN
evasively RB
Even IN
evening NN
even JJ
even RB
Even RB
events NNS
eventually RB
ever RB
everybody NN
everyday JJ
every DT
Every DT
everyone NN
everything NN
everywhere RB
evidence NN
evident JJ
evidently RB
evoked VBN
evokes VBZ
evolutionary JJ
evolved VBD
exacerbate VB
exact JJ
exactly RB
exaggeration NN
examination NN
examinations NNS
examines VBZ
examine VB
examining VBG
example NN
examples NNS
excavations NNS
except IN
exceptional JJ
exceptionally RB
Exchange NN
exchanges NNS
excitement NN
exciting JJ
excluded JJ
executed VBN
execution NN
executions NNS
Executive NN
exemplify VBP
exemption NN
exercise VB
exercise VBP
exercising VBG
exhausted VBN
exhibited VBN
exhibition NN
exhibits NNS
exhibit VB
exhorted VBD
existence NN
existing JJ
exists VBZ
exist VB
exits NNS
exocrine JJ
exoskeletons NNS
expand VB
expanse NN
expectation NN
expected VBD
expected VBN
expecting VBG
expeditions NNS
expenditure NN
experience NN
experience VB
experiencing VBG
experimental JJ
experimentally RB
experimented VBN
experiments NNS
expert NN
explained VBD
explaining VBG
explanation NN
explanations NNS
explicit JJ
exploitation NN
Expressive JJ
expropriated VBN
expunged VBN
extended JJ
extending VBG
extent NN
exterior JJ
exterior NN
extinguisher NN
extradite VB
extra JJ
extra-large NN
extraordinary JJ
Extras NNS
extremely RB
eye-appeal JJ
Eyeglass NNP
eye NN
eyes NNS
fabric NN
Facebook NNP
face NN
facing VBG
fact-finding NN
fact NN
factors NNS
factory NN
Factory NN
facts NNS
Faerie NNP
failed VBD
failing VBG
fails VBZ
failures NNS
fail VB
fainted VBD
fairly RB
faithful JJ
Faiths NNS
fake JJ
fallen VBN
fallopian JJ
fall VB
false JJ
familiar JJ
families NNS
family NN
Family NNP
famine VBP
famous JJ
fanaticism NN
fangs NNS
fanned VBD
FA NNP
far RB
fascinating JJ
fascination NN
fashioned JJ
fashion NN
fastened VBD
faster JJR
faster RBR
fastest-growing JJS
fastest JJS
fastidious JJ
fast JJ
fast RB
father NN
Father NNP
fat NN
fault NN
favorite JJ
favor NN
f CD
fear NN
Fear NN
fear VBP
feasting VBG
features NNS
federated VBN
feedback NN
feeling NN
feeling VBG
feels VBZ
Feels VBZ
feel VB
feel VBP
feet NNS
feigned VBD
Fei NNP
fellow JJ
Fellowship NN
fell VBD
fell VBN
felt NN
felt VBD
felt VBN
female JJ
female NN
feminist JJ
Fenella NNP
Ferdinand NNP
ferns NNS
fertilizes VBZ
fetch VB
few DT
few JJ
fibrous JJ
fictional JJ
fiddled VBD
fiddling VBG
field NN
fields NNS
fierily RB
fifteen CD
fifteenth JJ
fifty CD
fighting VBG
fight VB
Fig. NN
figure NN
Figure NNP
figures NNS
figure VB
Filipina NNP
filled VBD
filled VBN
filling VBG
fill VBP
filming NN
film NN
films NNS
filth NN
final JJ
finally RB
final NN
financial JJ
finding NN
finding VBG
finds VBZ
find VB
find VBP
fine JJ
fingers NNS
fingertips NNS
Finland NNP
fired VBN
fire NN
fireplaces NNS
firmly RB
firm NN
firms NNS
first-born JJ
first JJ
First JJ
First LS
first RB
first-timer NN
fisheries NNS
fishin' VBG
fish NN
Fists NNS
fit JJ
fitted VBD
fitted VBN
fitting NN
fit VBD
five CD
five-meter JJ
five-meter NN
five-thirty CD
flag NN
flames NNS
flap NN
flaps NNS
flaps VBZ
flared JJ
flares NNS
flashed VBD
flat JJ
flat NN
flats NNS
flatten VB
fled VBN
fleet NN
Fleet NNP
flew VBD
flexed VBD
flicked VBD
flight NN
Flight NN
flings VBZ
flirted VBD
flits VBZ
floats VBZ
flogged VBN
flooding VBG
floors NNS
floss. NN
flounce VB
flowers NNS
flow NN
flown VBN
